微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Ofiwu1aE9,#浙江大学127周年校庆#江河滔滔，草木郁郁。国有成均，在浙之滨。靡革匪因，笃学求是，一百二十七载薪火相传；靡故匪新，通达创新，一百二十七年开物前民。@南京大学 祝@浙江大学 127岁生日快乐！愿两校携手并进，友谊长存！  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/6967c9b3ly1hpwapx45s7j218g0swgqu.jpg,http://ww3.sinaimg.cn/large/6967c9b3ly1hpwapzqb8ej218g0tmn43.jpg,http://ww2.sinaimg.cn/large/6967c9b3ly1hpwaqcjp0bj218g0tmgop.jpg,http://ww4.sinaimg.cn/large/6967c9b3ly1hpwaqespthj20j60j6myp.jpg,http://ww2.sinaimg.cn/large/6967c9b3ly1hpwaqh4y98j218g0nijx8.jpg,http://ww4.sinaimg.cn/large/6967c9b3ly1hpwaql3mmrj21jk1jk7du.jpg,http://ww2.sinaimg.cn/large/6967c9b3ly1hpwaqmvtihj218g0tmdm2.jpg,http://ww4.sinaimg.cn/large/6967c9b3ly1hpwaqp85joj218g0tmgt1.jpg,http://ww3.sinaimg.cn/large/6967c9b3ly1hpwaqqoafjj218g0tmk57.jpg",无,无,2024-05-21 13:29,微博网页版,19,1,2
OfhxBaSoa,#小南分享# 就在522！[送花花]南大邮局开业在即，不仅有免费邮局咖啡等你品尝，盲盒礼品等你来拿，更有精美邮戳印章等你打卡！📮位置：南京大学仙林校区诚园4幢楼下  [组图共6张] 原图 ,,"http://ww1.sinaimg.cn/large/6967c9b3ly1hpw9dlw1s6j20os1citax.jpg,http://ww2.sinaimg.cn/large/6967c9b3ly1hpw9dnsql7j20wi1t5wqb.jpg,http://ww2.sinaimg.cn/large/6967c9b3ly1hpw9dpvbwvj20q91g642r.jpg,http://ww3.sinaimg.cn/large/6967c9b3ly1hpw9dsjktaj20wi1skjx5.jpg,http://ww1.sinaimg.cn/large/6967c9b3ly1hpw9duduubj20qq1hfdk4.jpg,http://ww4.sinaimg.cn/large/6967c9b3ly1hpw9dwjdskj20uv1nwjxb.jpg",无,无,2024-05-21 11:00,微博网页版,18,2,2
OfgyI5aoQ,#早安南大#送走昨日的月光🌙，迎接今日的朝阳🌅。早安，南京大学！  原图 ,,https://wx1.sinaimg.cn/large/6967c9b3ly1hpw99q9iosj20lb0sg4qp.jpg,无,无,2024-05-21 08:30,微博网页版,47,0,9
OfcveACEJ,#晚安南大##南京大学122周年校庆#  夜莺啼绿柳，皓月醒长空。最爱垄头麦，迎风笑落红。晚安，南京大学！（摄影：申博恒）  原图 ,,https://wx1.sinaimg.cn/large/6967c9b3ly1hpv5ptmv85j20sg0lcnh6.jpg,无,无,2024-05-20 22:10,无,50,2,5
OfappnpxR,#南大生活##南京大学122周年校庆# 星光抖擞，熠熠生辉🌟优秀校友蒲熠星回访母校啦这一次，他弥补了本科的遗憾，带着自己的舞蹈站上十大舞台，在这个活力四射的夏夜之中感受学弟学妹的热情满满～（摄影：李佳昊 季纯羽）  [组图共4张] 原图 ,,"http://ww4.sinaimg.cn/large/6967c9b3ly1hpw0mbx89vj21tu392hdt.jpg,http://ww1.sinaimg.cn/large/6967c9b3ly1hpw0mdurjwj23tg25bhdu.jpg,http://ww3.sinaimg.cn/large/6967c9b3ly1hpw0mffqw2j23vc2kwx6p.jpg,http://ww4.sinaimg.cn/large/6967c9b3ly1hpw0mgzkahj239l26ex6p.jpg",无,无,2024-05-20 16:50,无,4198,468,392
Ofa53CejL,#南大新闻# 5月18日至5月30日，为庆祝南京大学建校122周年，南京大学工会委员会联合教职工书画学会、教职工盆景学会在南京大学图书馆一楼长廊共同举办“翰墨浓情，礼赞南雍——迎校庆书画艺术展”，以抒发对母校的深厚情感。  [组图共6张] 原图 ,,"http://ww2.sinaimg.cn/large/6967c9b3ly1hpw0ocqbfgj20zk1betdu.jpg,http://ww1.sinaimg.cn/large/6967c9b3ly1hpw0od7aqkj21be0zjqcp.jpg,http://ww2.sinaimg.cn/large/6967c9b3ly1hpw0oemaijj22c0340e82.jpg,http://ww2.sinaimg.cn/large/6967c9b3ly1hpw0ogghy1j22c0340kjm.jpg,http://ww1.sinaimg.cn/large/6967c9b3ly1hpw0oidns6j22c0340b2a.jpg,http://ww2.sinaimg.cn/large/6967c9b3ly1hpw0oc4c9vj22c0340e82.jpg",无,无,2024-05-20 16:00,无,29,0,2
Of9yy4ip6,#南大生活# #南京大学122周年校庆# 星光迎盛典，长夜铸华梦。南京大学122周年校庆星光集市暨社团巡礼晚会于5月18日晚圆满结束晚会台上歌声悠扬、舞姿绰绰，集市摊位彩灯闪烁、人潮涌动。在这个夏日，让我们共同秉笔，书写更加宏大的崭新篇章～（来源：南京大学学生会）  [组图共14张] 原图 ,,"http://ww1.sinaimg.cn/large/6967c9b3ly1hpvtp24phlj20u00gwwgq.jpg,http://ww2.sinaimg.cn/large/6967c9b3ly1hpvtp2ehy4j20u00gwmzp.jpg,http://ww3.sinaimg.cn/large/6967c9b3ly1hpvtp3annsj20u013w43l.jpg,http://ww4.sinaimg.cn/large/6967c9b3ly1hpvtp1rgynj20u00mijti.jpg,http://ww4.sinaimg.cn/large/6967c9b3ly1hpvtp3wwt2j20u013wn3a.jpg,http://ww1.sinaimg.cn/large/6967c9b3ly1hpvtp4kj3zj20u010rten.jpg,http://ww1.sinaimg.cn/large/6967c9b3ly1hpvtp55otbj20u013wtco.jpg,http://ww2.sinaimg.cn/large/6967c9b3ly1hpvtp5r98bj20u00k0n0h.jpg,http://ww1.sinaimg.cn/large/6967c9b3ly1hpvtp69uimj20sg11tadf.jpg,http://ww2.sinaimg.cn/large/6967c9b3ly1hpvtp6sui9j20sg11xafs.jpg,http://ww2.sinaimg.cn/large/6967c9b3ly1hpvtp7hnx2j20sg11xgqj.jpg,http://ww1.sinaimg.cn/large/6967c9b3ly1hpvtp84mizj20sg11xn34.jpg,http://ww4.sinaimg.cn/large/6967c9b3ly1hpvtp8pbdgj20sg11x7b2.jpg,http://ww2.sinaimg.cn/large/6967c9b3ly1hpvtp9e4vgj20sg11x7b6.jpg",无,无,2024-05-20 14:40,无,92,2,4
Of9iygaMM,#南大新闻##南京大学122周年校庆#   “见出以知入，观往以知来”，此次“美育之路——2024年南京大学艺术学院硕士毕业作品展”，同学们用作品展现出与历史对话、与时代共振的艺术成长，为南大校庆倾情献礼。  [组图共9张] 原图 ,,"http://ww4.sinaimg.cn/large/6967c9b3ly1hpvtlug7m6j20u00heab9.jpg,http://ww2.sinaimg.cn/large/6967c9b3ly1hpvtluo5m1j20u00mi764.jpg,http://ww3.sinaimg.cn/large/6967c9b3ly1hpvtlu4dg8j20zk0zbgv4.jpg,http://ww2.sinaimg.cn/large/6967c9b3ly1hpvtluzj7fj20zk0zk10h.jpg,http://ww2.sinaimg.cn/large/6967c9b3ly1hpvtlv81v7j20u00odgnp.jpg,http://ww4.sinaimg.cn/large/6967c9b3ly1hpvtlvhoiaj20u016eq8b.jpg,http://ww4.sinaimg.cn/large/6967c9b3ly1hpvtlvw62hj20u01jedrx.jpg,http://ww2.sinaimg.cn/large/6967c9b3ly1hpvtlwbizbj20u02hhwp4.jpg,http://ww3.sinaimg.cn/large/6967c9b3ly1hpvtlwsduwj20u01o0dsa.jpg",无,无,2024-05-20 14:00,无,32,2,0
Of96cv78w,#南大生活##南京大学122周年校庆#  “奋进青年，舞叙南雍”💃🏻南京大学舞蹈团专场演出将于5月25日19:00在仙林校区恩玲剧场举办。舞姿绰约，精神焕发。迎光而绽，不见不散！（来源：NJU舞蹈团）  [组图共6张] 原图 ,,"http://ww1.sinaimg.cn/large/6967c9b3ly1hpv5r1zvlcj20sg0iz16x.jpg,http://ww3.sinaimg.cn/large/6967c9b3ly1hpv5r2phcrj20sg0izgvm.jpg,http://ww3.sinaimg.cn/large/6967c9b3ly1hpv5r3dynvj20zk0np7bf.jpg,http://ww2.sinaimg.cn/large/6967c9b3ly1hpv5r3t9pvj20zk0gyaey.jpg,http://ww2.sinaimg.cn/large/6967c9b3ly1hpv5r15ndmj20sg0izdqe.jpg,http://ww1.sinaimg.cn/large/6967c9b3ly1hpv5r48sbjj20tx1bzafc.jpg",无,无,2024-05-20 13:30,无,57,6,2
Of8HEph3p,#南大生活# #南京大学122周年校庆# “声逢盛世，奋进当歌”🎙南京大学第43届校园十大歌星赛完美落幕！在夏夜晚风中，我们用音乐对话，寻求灵魂共振；我们见证新星诞生，在星辰中央加冕。（摄影：李佳昊）  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/6967c9b3ly1hpvtrgukfkj26803i0qv7.jpg,http://ww2.sinaimg.cn/large/6967c9b3ly1hpvtrnx9ehj26803i0qv8.jpg,http://ww3.sinaimg.cn/large/6967c9b3ly1hpvtrtaddvj26803i0x6r.jpg,http://ww1.sinaimg.cn/large/6967c9b3ly1hpvu2ftthbj24tc37khdw.jpg,http://ww3.sinaimg.cn/large/6967c9b3ly1hpvts26xngj237k4tckjo.jpg,http://ww1.sinaimg.cn/large/6967c9b3ly1hpvtsaegt2j237k4tcqv7.jpg,http://ww2.sinaimg.cn/large/6967c9b3ly1hpvtrc9ehxj24tc37khdu.jpg,http://ww1.sinaimg.cn/large/6967c9b3ly1hpvtsm56x8j237k4tc7wl.jpg,http://ww3.sinaimg.cn/large/6967c9b3ly1hpvu8b6mx0j237k4tckjn.jpg",无,无,2024-05-20 12:30,无,1208,49,95
