微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Of8P86n9p,#24倍理的美#【今日，#小满#】①5月20日20时59分迎来小满节气。②小满标志着我国大部分地区已相继进入夏季。③小满的“满”是指麦类等夏熟作物灌浆乳熟，籽粒已开始饱满，但还未成熟，故称“小满”。④此时节，熏风徐来，麦穗摇曳，落红满地。今天，#小满遇上520#，在这万物繁茂的时节，愿你收获幸福...全文 原图 ,,https://wx4.sinaimg.cn/large/6fa6f4e3ly1hpvvvmawpsj21jc0ssai5.jpg,无,无,2024-05-20 12:48,无,2,0,1
Of7uEyxVL,#24倍理的美##小满# 忙灌溉，润小满，青青翠翠草木深。 南京理工大学的微博视频  ,,无,"https://f.video.weibocdn.com/o0/6GJ9QJBmlx08eZM5QqdW01041200v28i0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1716195667&ssig=%2F6mt5DyA%2FS&KID=unistore,video",无,2024-05-20 09:25,微博视频号,5,0,0
Of6Y9zNXj,#南京理工大学[超话]##顺理晨章# 🗓𝑴𝒂𝒚¹³.早安🌥夏早日初长，南风草木香。早安！夏日晨光初绽，微风轻拂，今日的校园将有哪些不同呢[爱慕]开启全新的一天，去享受夏日校园的惬意与美好吧[我想开了]  原图 ,,https://wx4.sinaimg.cn/large/6fa6f4e3ly1hpvnow8kttj21um18g7q0.jpg,无,无,2024-05-20 08:05,南京理工大学超话,5,0,0
Of3kXjljP,#南京理工大学[超话]##晚安南理# 睡前小调查[兔子]夏热炎炎，NJUSTer们最喜欢解暑食物和饮料是什么呢？西瓜🍉，奶茶🥤，还是冰淇淋🍦？快来和理理分享一下吧！  原图 ,,https://wx1.sinaimg.cn/large/6fa6f4e3ly1hpv7nm5ib1j20u00u0mza.jpg,无,无,2024-05-19 22:50,南京理工大学超话,1,0,0
Of2acmDQf,#南京理工大学[超话]##E=mc^2#理理英语小课堂开课啦[举手]距离四六级不到一个月了，NJUSTer们准备得如何了呀[开学季]理理来考考大家。下列哪个单词有“协调”的意思？ 下列意思是“协调”的单词是：  ,,无,无,无,2024-05-19 19:51,南京理工大学超话,155,0,1
Of1hl4S6B,#南理随手拍# 我想躺在这可爱五月里，做一个从未做过的美梦。（图源：南京理工大学新媒体中心摄影部）  原图 ,,https://wx1.sinaimg.cn/large/6fa6f4e3ly1hpum51p9aoj218g0tm0zs.jpg,无,无,2024-05-19 17:36,无,7,0,0
Of00B5rAv,#南京工业大学122周年校庆#老山以南，长江以北，君子湖畔，镜湖廊边。明德厚学，薪火相传谱新篇;沉毅笃行，继往开来续华章。@南京理工大学 祝@南京工业大学 合并组建23周年暨办学122周年生日快乐。愿两校携手并进，一起成为更好的大学！  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/6fa6f4e3ly1hpu03wccnzj21900u0gys.jpg,http://ww3.sinaimg.cn/large/6fa6f4e3ly1hpu03x6ihlj21420u0aje.jpg,http://ww1.sinaimg.cn/large/6fa6f4e3ly1hpu03yojasj218z0u0qh2.jpg,http://ww3.sinaimg.cn/large/6fa6f4e3ly1hpu03voq4mj20e70e7aaq.jpg,http://ww4.sinaimg.cn/large/6fa6f4e3ly1hpum4tjo72j21900u049p.jpg,http://ww2.sinaimg.cn/large/6fa6f4e3ly1hpum4twrz6j20hs0hsmz1.jpg,http://ww1.sinaimg.cn/large/6fa6f4e3ly1hpu03zozlpj218z0u0dr0.jpg,http://ww4.sinaimg.cn/large/6fa6f4e3ly1hpu040bkcfj21900u0k22.jpg,http://ww1.sinaimg.cn/large/6fa6f4e3ly1hpum4vjbfuj21970u0k1l.jpg",无,无,2024-05-19 14:22,无,15,1,1
OeYPxaI31,#扬州大学建校122周年#南国水畔，百年学堂。宝地通灵，闳才毓秀。岁月百转千回，流年桃李芬芳。硕学才子秀出班行，明德后辈砥砺敦行。百年扬大，悠悠子衿上下而求索。慢慢前路，青年翘楚奋进而卓绝。@南京理工大学 祝@扬州大学 122岁生日快乐，青春常沐，芳华永驻。愿两校友谊长存、共创辉煌！  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/6fa6f4e3ly1hpu0evm79dj21400u0jzd.jpg,http://ww1.sinaimg.cn/large/6fa6f4e3ly1hpu0exh1e4j21hc0u049q.jpg,http://ww4.sinaimg.cn/large/6fa6f4e3ly1hpu0eyalg6j21900u0tkm.jpg,http://ww3.sinaimg.cn/large/6fa6f4e3ly1hpu0ewd04dj20ux0u0mzp.jpg,http://ww4.sinaimg.cn/large/6fa6f4e3ly1hpu0ez5jk0j21400u0gtf.jpg,http://ww3.sinaimg.cn/large/6fa6f4e3ly1hpum47owpuj20hs0hsmz1.jpg,http://ww1.sinaimg.cn/large/6fa6f4e3ly1hpu0f0342oj21400u07hx.jpg,http://ww3.sinaimg.cn/large/6fa6f4e3ly1hpum4bk35xj218w0u0n70.jpg,http://ww2.sinaimg.cn/large/6fa6f4e3ly1hpum4c8miwj20qo0h7416.jpg",无,无,2024-05-19 11:22,无,5,0,1
OeXDR2kf2,#南京理工大学[超话]##顺理晨章#心似白云常自在，意如流水任东西。自由自在，顺应自然[微风]今天阳光明媚，趁着有时间赶快出门走走吧！NJUSTer们早安  原图 ,,https://wx4.sinaimg.cn/large/6fa6f4e3ly1hpuiih4mdqj213z0u0apq.jpg,无,无,2024-05-19 08:20,南京理工大学超话,1,0,1
OeTncfa6q,#南京理工大学[超话]##晚安南理# 晚上好！今天又是一个晴朗[太阳]的周六，大家过得怎么样？好天气总会让人心情愉悦，睡前来和理理分享一下本周遇到的小幸运吧[哇]  原图 ,,https://wx3.sinaimg.cn/large/6fa6f4e3ly1hptzo0v543j21kw1kwn5l.jpg,无,无,2024-05-18 21:28,南京理工大学超话,3,0,0
