微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
OakSk0GrL,[置顶]南京大聯排進行中...#萧跟班营业日记##音乐剧胭脂扣# 上海場EP02（下）4/19南京明天不見不散✌️ 萧敬腾的微博视频  ,,无,"https://f.video.weibocdn.com/o0/zRMnSGuulx08ebBeFwRG01041200p1fi0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1713530677&ssig=RIijR7zYKA&KID=unistore,video",无,2024-04-18 22:17,微博视频号,45557,20775,25205
OaaWfEbF6,我的「蕭跟班」今天正式營業🈺️歡迎光臨想看什麼留言給蕭跟班說😝#音乐剧胭脂扣#上海場EP01（上）#萧跟班营业日记# 萧敬腾的微博视频  ,,无,"https://f.video.weibocdn.com/o0/DpQFFwR8lx08e9UYHNvG01041200IQBh0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1713530677&ssig=DfHVUty%2F5Q&KID=unistore,video",无,2024-04-17 20:59,微博视频号,45721,20256,25675
Oa8P83C6d,#音乐剧胭脂扣# 首場上海結束repo非常感謝到場的每一位觀眾感謝你們如此支持和信任我這樣一位「音樂劇新人」非常非常非常感謝胭脂扣的所有台上幕後同事是你們讓我快速的成長也是你們的陪伴給了我這位「新人」滿滿的信心和勇氣這幾個月，遇到太多美好的人和事都因為有你們才如此圓滿下一站4/19 4/20 4/21南京我們一起繼續加油！我愛你們#萧的随手记##充电吧音乐人#                  原图                             ,,https://wx4.sinaimg.cn/large/001SfbQqgy1hotv5hs5bwj62bk334hdv02.jpg,无,无,2024-04-17 15:36,无,46447,20585,26193
O9JviBxFz,掌聲歡迎金花駕到🤟恭喜我的好朋友 @杨谨华的游乐场 馬上就要華麗登場✨️乘風破浪❤️#为杨谨华打call# 萧敬腾的微博视频  ,,无,"https://f.video.weibocdn.com/o0/FaD67jrklx08e5cerngI0104120068dj0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1713530680&ssig=58Fgiw63FA&KID=unistore,video",无,2024-04-14 23:09,微博视频号,46057,20784,26040
O9uUxg0Kc,#你好星期六寻找音乐经纪人# 搭檔要「鑫鑫」相印的才好🎯誰是我稱「鑫」如意的經紀人呢❤️#你好星期六#  [组图共9张] 原图 ,,"http://ww2.sinaimg.cn/large/001SfbQqly1hoojgb5dsqj62m83xcx6r02.jpg,http://ww1.sinaimg.cn/large/001SfbQqgy1hoojh24ln3j66bk47sqvd02.jpg,http://ww4.sinaimg.cn/large/001SfbQqly1hoojhbbbc1j62m83xc1l002.jpg,http://ww1.sinaimg.cn/large/001SfbQqly1hoojhsp6a3j62lp3wjhdz02.jpg,http://ww4.sinaimg.cn/large/001SfbQqly1hooji7e6nkj62bx3pve8602.jpg,http://ww4.sinaimg.cn/large/001SfbQqgy1hoojg1x4q1j62m83xc7wl02.jpg,http://ww1.sinaimg.cn/large/001SfbQqly1hoojiibphoj62m83xcx6s02.jpg,http://ww1.sinaimg.cn/large/001SfbQqly1hoojisrkboj62m83xcnpg02.jpg,http://ww1.sinaimg.cn/large/001SfbQqgy1hooix54ftaj62lp3wj1l302.jpg",无,无,2024-04-13 10:00,无,47534,20471,22716
O8KL06hvn,從經典中汲取養分與能量才能迸發出新的靈感和創意…… 很高興能與@NewBalance中国 一同踏上復古新生的旅程見證1906R復古與新生的靈感碰撞  [组图共4张] 原图 ,,"http://ww4.sinaimg.cn/large/001SfbQqly1hoiplmpdn3j670h9ade8e02.jpg,http://ww2.sinaimg.cn/large/001SfbQqly1hoippagqahj670h9adx7002.jpg,http://ww4.sinaimg.cn/large/001SfbQqly1hoipq12d5bj6a6r6fphe602.jpg,http://ww4.sinaimg.cn/large/001SfbQqly1hoipkyzl9nj670h9ad1ld02.jpg",无,无,2024-04-08 12:30,无,46923,20668,25800
O7QCChFnu,每個人在成長中都會遇到障礙，尤其是孤獨症的朋友們，今天是#世界孤独症日#，我們一起加入#壹基金蓝色行动#，一起支持他們融入自主自在的社區生活💙#点亮星星守护你#  原图 ,,https://wx1.sinaimg.cn/large/001SfbQqgy1hocfibpogfj63h06684qz02.jpg,无,无,2024-04-02 13:36,无,45502,20119,26603
O7rBlkCgr,感謝胭脂扣團隊❤️在工作密度這麼高的狀況下還抽空為我慶生第一次在音樂廳的舞台上過生日很特別 很感動希望大家平安健康天天開心我們胭脂扣演出大順利我要去綵排了愛你們😘😘😘#一条plog告别三月#  [组图共4张] 原图 ,,"http://ww1.sinaimg.cn/large/001SfbQqgy1ho9d1oawmkj60qe0qetb702.jpg,http://ww2.sinaimg.cn/large/001SfbQqly1ho9d1rzj4wj61z41z44qq02.jpg,http://ww3.sinaimg.cn/large/001SfbQqgy1ho9czgpqddj60tt0vptbu02.jpg,http://ww4.sinaimg.cn/large/001SfbQqly1ho9d1ss0rfj60pk0pkn4k02.jpg",无,无,2024-03-30 21:54,无,46611,20191,25347
O7jc6fU4P,今天是我的生日，来祝福我吧！  ,,无,无,无,2024-03-30 00:30,生日动态,50675,10161,10353
O75fIm1wF,我不怪大家對我不放心#充电吧音乐人# 萧敬腾的微博视频  ,,无,"https://f.video.weibocdn.com/o0/9N9DqABhlx08dDsgcU4M01041200cPtF0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1713530681&ssig=mPznZQwNia&KID=unistore,video",无,2024-03-28 13:00,微博视频号,46829,20675,25169
O5gmZnHki,好開心學舞遇到王小蒙@王亞彬 夢回#乡村爱情##胭脂扣##充电吧音乐人#  原图 ,,https://wx3.sinaimg.cn/large/001SfbQqgy1hnsqzfr6o2j62dc35sx6p02.jpg,无,无,2024-03-16 13:38,无,47257,21196,26203
