微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
OeXvxuK2s,[置顶]#南京工业大学122周年校庆# 老山之南，朗朗书声响彻绿林中；长江以北，莘莘学子汇聚江水边。山灵水秀，宝地英才。知识之道，重在人文。淡泊明志，知行合一。明德厚学沉毅笃行，龙虎环鼎立德树人。南工塔下传精神，逸夫馆内谱华章。创新理念代代相传攀登科研巅峰，治学思想生生不息造就精英无数...全文 原图 ,,https://wx3.sinaimg.cn/large/7011aebbly1hpu5dl1bq2j21980u0k3o.jpg,无,无,2024-05-19 08:00,南京工业大学超话,233,54,34
Of8vsFTPp,"#为中国最美校园打call# #老山南,长江北# 春风有信，花开有期，所有的美好都已经在路上。@江苏教育发布  [组图共6张] 原图 ",,"http://ww1.sinaimg.cn/large/7011aebbgy1hpvbsn8wi3j23402bs7wi.jpg,http://ww1.sinaimg.cn/large/7011aebbgy1hpvbspni1cj23402bskjm.jpg,http://ww2.sinaimg.cn/large/7011aebbgy1hpvbsshnzzj23402bs1kz.jpg,http://ww2.sinaimg.cn/large/7011aebbgy1hpvbsv39i5j23402bs4qr.jpg,http://ww4.sinaimg.cn/large/7011aebbgy1hpvbsxqx1xj235s2d3u0y.jpg,http://ww4.sinaimg.cn/large/7011aebbgy1hpvbt0504rj235s2d3b2a.jpg",无,无,2024-05-20 11:59,南京工业大学超话,1,2,1
Of7IKiEDs,#南工大飞花令#今日关键词：云。老工先来：黄河远上白云间，一片孤城万仞山。  原图 ,,https://wx3.sinaimg.cn/large/7011aebbgy1hpvbqslpeoj22by27ye81.jpg,无,无,2024-05-20 10:00,微博网页版,2,0,7
Of2L4yKSn,#南京工业大学122周年校庆##畅谈南工大# 今天是南京工业大学122岁生日，你有什么话想对南工大说的吗？欢迎大家在评论区留言哦～（图源｜网络）  原图 ,,https://wx4.sinaimg.cn/large/7011aebbly1hpuzf823zxg206o06oq4t.gif,无,无,2024-05-19 21:22,祈久亭的HarmonyOS设备,3,0,1
Of1zcp0cq,#南京工业大学122周年校庆#  #为中国最美校园打call# 就往前走吧，去追原野的风，去逐自由的夏。值此校庆佳日，共浴百年荣光，鲜花铺满来路，我们一同朝梦的旅程奔赴～@江苏教育发布  [组图共6张] 原图 ,,"http://ww2.sinaimg.cn/large/7011aebbly1hpuzds5akej22rv45tx6x.jpg,http://ww2.sinaimg.cn/large/7011aebbly1hpuzdz46xsj22t747qx6v.jpg,http://ww4.sinaimg.cn/large/7011aebbly1hpuze5wn93j22tc4807wm.jpg,http://ww1.sinaimg.cn/large/7011aebbly1hpuzed4ltrj22tc4804qw.jpg,http://ww1.sinaimg.cn/large/7011aebbly1hpuzektk6lj247b2swu14.jpg,http://ww4.sinaimg.cn/large/7011aebbly1hpuzetyq3yj247j2t14qz.jpg",无,无,2024-05-19 18:20,南京工业大学超话,13,10,2
Of1nS3ccv,#扬州大学建校122周年#南国水畔，百年学堂。 宝地通灵，闳才毓秀。 岁月百转千回，流年桃李芬芳。硕学才子秀出班行，明德后辈砥砺敦行。 百年扬大，悠悠子衿上下而求索。 慢慢前路，青年翘楚奋进而卓绝。@南京工业大学 祝@扬州大学 122岁生日快乐，青春常沐，芳华永驻。愿两校友谊长存、共创辉...全文 [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/7011aebbly1hpuyxgv4lcj21ce0s3qei.jpg,http://ww3.sinaimg.cn/large/7011aebbly1hpuyxskeanj20uk0jo772.jpg,http://ww3.sinaimg.cn/large/7011aebbly1hpuyxygyvoj20uk0kgacm.jpg,http://ww4.sinaimg.cn/large/7011aebbly1hpuyxg9fbxj20ux0u0mzp.jpg,http://ww3.sinaimg.cn/large/7011aebbly1hpuyy6bxn4j20uk0mxn2n.jpg,http://ww4.sinaimg.cn/large/7011aebbly1hpuz147j9ij20e70e7aaq.jpg,http://ww1.sinaimg.cn/large/7011aebbly1hpuz06u6n5j20uk0hcjv8.jpg,http://ww4.sinaimg.cn/large/7011aebbly1hpuz0huvxdj20uk0i6tel.jpg,http://ww4.sinaimg.cn/large/7011aebbly1hpuz0mik6zj20uk0h6adj.jpg",无,无,2024-05-19 17:52,君子湖畔的Android,2,0,1
OeSMmudfb,#南工大电台# 今夜分享一首来自周深的《纪念》。“我只想拉住流年，好好的说声再见”，愿大家再见少年拉满弓，不惧岁月不惧风～央视网文娱的微博视频  ,,无,"https://f.video.weibocdn.com/o0/lM3urjt9lx085IB1kWti01041200BfwA0E010.mp4?label=mp4_hd&template=640x480.25.0&Expires=1716183898&ssig=ArlD%2BrfX3m&KID=unistore,video",无,2024-05-18 19:57,亚青麦麦与iPhone 14 Pro Max,138,32,3
OeRdsE7I3,#南工大分享[超话]# 【收藏！#夏日祛湿养生攻略#】#健脾祛湿该怎么吃#？夏季湿度大，湿邪易侵袭人体，而且“贪凉饮冷”可能会影响健康。如果湿气不除，到冬季就可能出现疾病，如胃肠不适，易腹痛腹泻等。这些祛湿方法，不妨结合自身体质试试↓↓转走参考~ 【健康养生】夏天祛湿很关键！几个小方法，摆脱难缠的湿邪 （来源｜人民日报）  [组图共6张] 原图 ,,"http://ww4.sinaimg.cn/large/7011aebbly1hpsoklbwgdj20rs20sdo7.jpg,http://ww4.sinaimg.cn/large/7011aebbly1hpsoklohqyj20rs1bt43b.jpg,http://ww3.sinaimg.cn/large/7011aebbly1hpsokm0aupj20rs1afwko.jpg,http://ww2.sinaimg.cn/large/7011aebbly1hpsokmi48dj20rs1zi47v.jpg,http://ww3.sinaimg.cn/large/7011aebbly1hpsokkzyspj20rs1kp44m.jpg,http://ww3.sinaimg.cn/large/7011aebbly1hpsokmvlb4j20rs1m1n36.jpg",无,无,2024-05-18 15:58,亚青麦麦与iPhone 14 Pro Max,2,0,0
OeQdPrz4y,#南工大干货铺子# 𝟐𝟎𝟐𝟒法考刑法思维导图~学起来！ （来源｜法考小保姆）  [组图共14张] 原图 ,,"http://ww2.sinaimg.cn/large/7011aebbly1hpsojolj89j20u0162myn.jpg,http://ww4.sinaimg.cn/large/7011aebbly1hpsojou5cej20u0162q5i.jpg,http://ww4.sinaimg.cn/large/7011aebbly1hpsojobmy7j20u016277v.jpg,http://ww1.sinaimg.cn/large/7011aebbly1hpsojp5197j20u0162wie.jpg,http://ww4.sinaimg.cn/large/7011aebbly1hpsojpeef0j20u0162jvx.jpg,http://ww2.sinaimg.cn/large/7011aebbly1hpsojppbbej20u0162tcp.jpg,http://ww3.sinaimg.cn/large/7011aebbly1hpsojq0ofvj20u0162ada.jpg,http://ww2.sinaimg.cn/large/7011aebbly1hpsojqbvquj20u0162426.jpg,http://ww2.sinaimg.cn/large/7011aebbly1hpsojqjmn1j20u0162diy.jpg,http://ww3.sinaimg.cn/large/7011aebbly1hpsojqsad8j20u0162adu.jpg,http://ww1.sinaimg.cn/large/7011aebbly1hpsojr1wa7j20u0162di6.jpg,http://ww4.sinaimg.cn/large/7011aebbly1hpsojragrij20u0162dix.jpg,http://ww2.sinaimg.cn/large/7011aebbly1hpsojrklkoj20u0162q70.jpg,http://ww2.sinaimg.cn/large/7011aebbly1hpsojrvx8bj20u0162aee.jpg",无,无,2024-05-18 13:27,亚青麦麦与iPhone 14 Pro Max,4,0,0
OePq78PNp,"#南京工业大学校友返校纪念大会#桃李再聚首,共诉同窗情。本次1994届校友毕业30周年返校纪念大会于今天10:00在南京工业大学江浦校区博雅堂举行。  [组图共9张] 原图 ",,"http://ww4.sinaimg.cn/large/7011aebbly1hpthqdoanvj23ss2j8b2b.jpg,http://ww2.sinaimg.cn/large/7011aebbly1hpthqs5xqwj23sx2jcb2b.jpg,http://ww2.sinaimg.cn/large/7011aebbly1hpthr0dkscj23vc2kwu0z.jpg,http://ww3.sinaimg.cn/large/7011aebbly1hpthpb5lx6j23oc2g94qr.jpg,http://ww3.sinaimg.cn/large/7011aebbly1hpthrsios2j23vc2ky7wj.jpg,http://ww2.sinaimg.cn/large/7011aebbly1hpthpr9m4gj23vc2kw1l0.jpg,http://ww1.sinaimg.cn/large/7011aebbly1hpthrb864vj23vc2kwb2b.jpg,http://ww2.sinaimg.cn/large/7011aebbly1hpthphlq4oj23sr2j7x6q.jpg,http://ww4.sinaimg.cn/large/7011aebbly1hpthpy1q23j23qv2hyu0y.jpg",无,无,2024-05-18 11:24,南京工业大学超话,25,0,5
OePn8qDUU, #苏州大学建校124周年#葑溪之西，胥江之东，广厦万间崇。凭栏四望，虎疁金鸡，一例眼球笼。东吴东吴，人中鸾凤，世界同推重。山负海涵，春华秋实，声教暨寰中。@南京工业大学 祝@苏州大学 建校124周年快乐。愿两校友谊长存，一起做更好的大学！  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/7011aebbly1hpthz0ctszj20nm0fqgoo.jpg,http://ww3.sinaimg.cn/large/7011aebbly1hpthz0j1fgj20nm0fq412.jpg,http://ww1.sinaimg.cn/large/7011aebbly1hpthz04u8qj20nm0fq430.jpg,http://ww4.sinaimg.cn/large/7011aebbly1hpthz0r2arj20g40g4gnr.jpg,http://ww3.sinaimg.cn/large/7011aebbly1hpthz14wmlj20nm0fq0v1.jpg,http://ww4.sinaimg.cn/large/7011aebbly1hpthz1dlh0j20u80u0770.jpg,http://ww3.sinaimg.cn/large/7011aebbly1hpthz0xf2mj20nm0dawgt.jpg,http://ww2.sinaimg.cn/large/7011aebbly1hpthz1ldbbj20mu0g4dil.jpg,http://ww1.sinaimg.cn/large/7011aebbly1hpthz1vse8j20nm0d8wh9.jpg",无,无,2024-05-18 11:17,亚青麦麦与iPhone 14 Pro Max,10,0,3
