微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
O5RzqulS2,[置顶]春分已至，未·LIVE已来，你们一直在^_^火车开起来，歌要听起来，演唱会也要看起来🎬首站-上海见🚊#张杰未LIVE巡回演唱会##张杰未LIVE开往1982巡回演唱会#  张杰的微博视频  ,,无,"https://f.video.weibocdn.com/o0/X4IcFOpylx08dpUWccWI01041200hPtV0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1713540567&ssig=F5oKRu16lp&KID=unistore,video",无,2024-03-20 12:20,微博视频号,546880,517267,522965
Niao7oL1m,未live的时间真的好快竟是最后一次回顾了但我还想再唱“亿”次^_^（我超级喜欢这最后的剪辑）是的 离别是重逢的开始在众多的孤星中我们还是会找到彼此 不是吗未LIVE！未来的不久后 和你们再聚！你们！对！就是你们！#张杰未LIVE巡回演唱会# 张杰的微博视频  ,,无,"https://f.video.weibocdn.com/o0/6sHjsrhZlx088pBz1Heo010412024VJC0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1713540568&ssig=OKlHXM144P&KID=unistore,video",无,2023-09-07 11:34,微博视频号,1284231,1000000,1000000
OaqopD1CA,二十年，不变的是对音乐的热爱和对LIVE的坚持^_^一次特殊的拍摄体验，感谢@时装LOFFICIEL #张杰时装五月封面#   [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/001lZJw4ly1hov8n638h0j62bc2bce8402.jpg,http://ww3.sinaimg.cn/large/001lZJw4ly1hov8nc9pqfj62bc3h0kjo02.jpg,http://ww2.sinaimg.cn/large/001lZJw4ly1hov8nfaa59j62bc3h1b2c02.jpg,http://ww2.sinaimg.cn/large/001lZJw4ly1hov8n973dwj62bc3h01l102.jpg,http://ww4.sinaimg.cn/large/001lZJw4ly1hov8nndugdj62bc3h0b2b02.jpg,http://ww1.sinaimg.cn/large/001lZJw4ly1hov8nppwrgj61ze2l61kz02.jpg,http://ww2.sinaimg.cn/large/001lZJw4ly1hov8nhovipj62bc1jk7wi02.jpg,http://ww3.sinaimg.cn/large/001lZJw4ly1hov8nktb45j62bc3h0x6r02.jpg,http://ww3.sinaimg.cn/large/001lZJw4ly1hov8n37hpbj61y42j77wi02.jpg",无,无,2024-04-19 12:20,无,180137,171141,90779
O9PPsg5Xk,坐在从南昌开往上海的高铁上……🚅此刻我不是“张列车长”，我是即将迎来第100场的……“王杭爵”^_^#张杰未LIVE巡回演唱会##张杰未LIVE开往1982巡回演唱会# 张杰的微博视频  ,,无,"https://f.video.weibocdn.com/o0/i9uQQBfClx08e6lBR7Y401041200i5O90E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1713540569&ssig=hJXT%2FFvVAY&KID=unistore,video",无,2024-04-15 15:15,微博视频号,209569,193325,177730
O9OCyETmi,个人第99场演唱会，南昌站三场圆满收官✌️07年，感谢你们的选择，让我们成为“我们”✨虽然我用了20年才来到南昌唱给你们听，但今天的纪念日很开心！并且新话筒也有了名字——“未来福”🎤未来希望我们“昌昌九九”，下次还来^_^#张杰未LIVE巡回演唱会# #张杰未LIVE开往1982巡回演唱会#    [组图共18张] 原图 ,,"http://ww4.sinaimg.cn/large/001lZJw4gy1hore3iy5o4j63xc2m8x6t02.jpg,http://ww3.sinaimg.cn/large/001lZJw4gy1hord7cr6jlj628x3dehdw02.jpg,http://ww3.sinaimg.cn/large/001lZJw4gy1hore2hhckij668d2cse8b02.jpg,http://ww2.sinaimg.cn/large/001lZJw4gy1hord76adrpj62jw3tub2d02.jpg,http://ww2.sinaimg.cn/large/001lZJw4gy1hordvgg81lj62if3rme8702.jpg,http://ww4.sinaimg.cn/large/001lZJw4gy1hordc6dpi1j63xm5wb4r002.jpg,http://ww3.sinaimg.cn/large/001lZJw4gy1hordcfnu4fj63924vje8702.jpg,http://ww2.sinaimg.cn/large/001lZJw4gy1hordh9lii2j63sk5orb2j02.jpg,http://ww2.sinaimg.cn/large/001lZJw4gy1hordlwdo60j647s6bk7wo02.jpg,http://ww1.sinaimg.cn/large/001lZJw4gy1hord7ffyzaj61zf1bmkjl02.jpg,http://ww4.sinaimg.cn/large/001lZJw4gy1hordckp4a0j631920ub2b02.jpg,http://ww2.sinaimg.cn/large/001lZJw4gy1hordqlfttej63hu58mhdz02.jpg,http://ww3.sinaimg.cn/large/001lZJw4gy1hordm3tbiej65o836x4qx02.jpg,http://ww1.sinaimg.cn/large/001lZJw4gy1hore077f0aj6408295x6v02.jpg,http://ww2.sinaimg.cn/large/001lZJw4gy1hore0mk02yj66a83j9hdx02.jpg,http://ww3.sinaimg.cn/large/001lZJw4gy1hore1juzvyj640b2o7u1302.jpg,http://ww2.sinaimg.cn/large/001lZJw4gy1hore35rnadj641i25pb2g02.jpg,http://ww2.sinaimg.cn/large/001lZJw4gy1hore3txrhcj66124157ww02.jpg",无,无,2024-04-15 12:11,无,179239,171347,154322
O9Jop6ury,大家好，我依然是那个06号张杰^_^今晚是我的第99场个人演唱会，我们的4.14纪念日，你们依然在✨#张杰未LIVE巡回演唱会# #张杰未LIVE开往1982巡回演唱会#   张杰的微博视频  ,,无,"https://f.video.weibocdn.com/o0/aKytbj0tlx08e5g6bYrK01041200n8TB0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1713540569&ssig=84mmWcQJzD&KID=unistore,video",无,2024-04-14 22:52,微博视频号,167885,181335,155468
O9ABCEUyN,别哭别哭，《雪龙吟》来了，晚安，好梦#张杰未LIVE巡回演唱会# #张杰未LIVE开往1982巡回演唱会#   张杰的微博视频  ,,无,"https://f.video.weibocdn.com/o0/kiuFZqa9lx08e3LTXKYw01041200tlfg0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1713540570&ssig=fsI8wENTaW&KID=unistore,video",无,2024-04-14 00:30,微博视频号,166635,159701,150873
O9zPNjKPw,第98场的今晚真是让人难忘在应该下雨的时候下：破碎感拉满的“泡沫”；让时间静止的“着魔”；我们要在一起的“何必在一起”；迎着雨奔向你的“想见你想见你想见你”；红日初升其道大光的“少年中国说”；………这就是LIVE，不虚此行张杰的LIVE！在雨下的泡沫，一触就破～当初炽热的心，“...全文 [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/001lZJw4gy1hopkcj6k21j62tf4824qt02.jpg,http://ww3.sinaimg.cn/large/001lZJw4gy1hopkdky29hj63r45mlb2f02.jpg,http://ww2.sinaimg.cn/large/001lZJw4gy1hopkd72isuj62m83xcnpg02.jpg,http://ww1.sinaimg.cn/large/001lZJw4gy1hopkcx7zo7j61hv28thdt02.jpg,http://ww4.sinaimg.cn/large/001lZJw4gy1hopkd4mnejj62g13o0e8902.jpg,http://ww3.sinaimg.cn/large/001lZJw4gy1hopkdg9p05j65fl3lzx6v02.jpg,http://ww3.sinaimg.cn/large/001lZJw4gy1hopkdcc442j66284d5npm02.jpg,http://ww2.sinaimg.cn/large/001lZJw4gy1hopkcsomanj656i3gfu1702.jpg,http://ww2.sinaimg.cn/large/001lZJw4gy1hoplh8jg1kj63402c0kjm02.jpg",无,无,2024-04-13 22:32,无,156303,161713,152872
O9wosaXEh,你们看我像蚂蚁一样而我看你像星星一样所以星星们此刻和我一起念：今晚会是晴天☀️#张杰未LIVE开往1982巡回演唱会##张杰未live巡回演唱会#  [组图共18张] 原图 ,,"http://ww1.sinaimg.cn/large/001lZJw4gy1hop5in96uuj63u61mo1l002.jpg,http://ww2.sinaimg.cn/large/001lZJw4gy1hop5etpp43j66343k0he202.jpg,http://ww4.sinaimg.cn/large/001lZJw4gy1hop5eyy3smj63ss2gonpk02.jpg,http://ww1.sinaimg.cn/large/001lZJw4gy1hop5f58si9j66wi2cc7wq02.jpg,http://ww3.sinaimg.cn/large/001lZJw4gy1hop5emxknpj65u526f7wm02.jpg,http://ww4.sinaimg.cn/large/001lZJw4gy1hop5mh9eq2j635e1rskjn02.jpg,http://ww1.sinaimg.cn/large/001lZJw4gy1hop5ikez48j64gi2iau1302.jpg,http://ww1.sinaimg.cn/large/001lZJw4gy1hop5jdrthwj64082o74qx02.jpg,http://ww4.sinaimg.cn/large/001lZJw4gy1hop5ma75bpj63uw2s0qvc02.jpg,http://ww1.sinaimg.cn/large/001lZJw4gy1hop5mxvdouj64l6324b2h02.jpg,http://ww4.sinaimg.cn/large/001lZJw4gy1hop5k4777nj63vj2l2u1602.jpg,http://ww2.sinaimg.cn/large/001lZJw4gy1hop5kxgufjj640e298he202.jpg,http://ww3.sinaimg.cn/large/001lZJw4gy1hop5ldpw6cj641x2a3npk02.jpg,http://ww3.sinaimg.cn/large/001lZJw4gy1hop5lm32lfj63z228hnph02.jpg,http://ww2.sinaimg.cn/large/001lZJw4gy1hop5lsh5upj63aq1ushdw02.jpg,http://ww4.sinaimg.cn/large/001lZJw4gy1hop5m554ryj641p29yhe102.jpg,http://ww2.sinaimg.cn/large/001lZJw4gy1hop5l1qxj7j61og28nkjm02.jpg,http://ww3.sinaimg.cn/large/001lZJw4gy1hop5kiglj6j63v22kqhdx02.jpg",无,无,2024-04-13 13:46,无,153576,156711,154962
O9vDWrkck,南昌！第97场，遗憾变圆满！终于不用再羡慕其他城市了！有全场大合唱✅有蹦迪狂欢✅有假人挑战✅还有……今晚继续和你狂欢^_^#张杰未LIVE巡回演唱会# #张杰未LIVE开往1982巡回演唱会#    [组图共18张] 原图 ,,"http://ww4.sinaimg.cn/large/001lZJw4gy1hop2782yhuj61pz3qb1kz02.jpg,http://ww2.sinaimg.cn/large/001lZJw4gy1hop27fxwaoj63gg56lqvb02.jpg,http://ww2.sinaimg.cn/large/001lZJw4gy1hop1potsk1j62h83pu1l002.jpg,http://ww3.sinaimg.cn/large/001lZJw4gy1hop27kdnlhj63uw2s0qvc02.jpg,http://ww3.sinaimg.cn/large/001lZJw4gy1hop27vde1dj66wi2cc7wq02.jpg,http://ww4.sinaimg.cn/large/001lZJw4gy1hop2bq79d4j62ep1ltnpd02.jpg,http://ww3.sinaimg.cn/large/001lZJw4gy1hop27xjq6kj667l454hdx02.jpg,http://ww1.sinaimg.cn/large/001lZJw4gy1hop29cxh3vj647s6bkhe202.jpg,http://ww1.sinaimg.cn/large/001lZJw4gy1hop29glf4oj62943dp1l102.jpg,http://ww1.sinaimg.cn/large/001lZJw4gy1hop29j46fij61zf2z2hdu02.jpg,http://ww1.sinaimg.cn/large/001lZJw4gy1hop29ses8aj64vy2ohx6v02.jpg,http://ww3.sinaimg.cn/large/001lZJw4gy1hop28xze3yj647s6bkx7302.jpg,http://ww4.sinaimg.cn/large/001lZJw4gy1hop2a2upz7j647s6bku1502.jpg,http://ww4.sinaimg.cn/large/001lZJw4gy1hop2ajeco7j66bk47s1le02.jpg,http://ww4.sinaimg.cn/large/001lZJw4gy1hop2azellij66bk47skjy02.jpg,http://ww2.sinaimg.cn/large/001lZJw4gy1hop2bdn8afj66bk47sb2j02.jpg,http://ww4.sinaimg.cn/large/001lZJw4gy1hop2bhxiozj63z228hnph02.jpg,http://ww1.sinaimg.cn/large/001lZJw4gy1hop2bp0j0oj64gi2iau1302.jpg",无,无,2024-04-13 11:52,无,169454,160804,168139
