微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
OeSa4F7g3,喜报送到家，让光荣之家更光荣（武警第一机动总队 张曦、陈彦辰、胡洲；编辑：姚旺） 中国武警的微博视频  ,,无,"https://f.video.weibocdn.com/o0/LmGCgHYFlx08eXbSTp32010412007RmT0E010.mp4?label=mp4_hd&template=540x720.24.0&Expires=1716035624&ssig=bEc7tflSH3&KID=unistore,video",无,2024-05-18 18:23,微博视频号,16,2,5
OeS9y1ddB,飒！通信女兵舞蹈演绎强军《有我》（武警山西总队 成晓慧、张楚玉、王品懿、从姜威；编辑：姚旺） 中国武警的微博视频  ,,无,"https://f.video.weibocdn.com/o0/dXV9mO8Ylx08eXbNdTde01041200VUUJ0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1716035624&ssig=xMLq8gaMR6&KID=unistore,video",无,2024-05-18 18:22,微博视频号,12,1,3
OeS4ydUKZ,武警指挥学院举办第七期“强军科技讲坛”（武警指挥学院 张德骏、陈力、张燕；编辑：姚旺） 中国武警的微博视频  ,,无,"https://f.video.weibocdn.com/o0/iLiYWr6Ulx08eXaXnPBC01041200o9kI0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1716035624&ssig=11qPWHsUVW&KID=unistore,video",无,2024-05-18 18:09,微博视频号,10,0,3
OeHOydi55,文艺情景课《红肩章》走进“英雄独一旅”巡讲（武警第二机动总队 仇茂川、华巍、孟令照；李楠；编辑：姚旺） 中国武警的微博视频  ,,无,"https://f.video.weibocdn.com/o0/tl3gMjkIlx08eVrlkIuY01041200sAfo0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1716035624&ssig=l4YEQGmEfu&KID=unistore,video",无,2024-05-17 16:02,微博视频号,23,4,7
OeHJha2DF,摸爬滚打！新兵战术训练火力全开（武警云南总队 何文涛、陈昱帆、张靖文；编辑：姚旺） 中国武警的微博视频  ,,无,"https://f.video.weibocdn.com/o0/xy0klhxBlx08eVqsq6Xm01041200gJRq0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1716035625&ssig=6O09HLFoVY&KID=unistore,video",无,2024-05-17 15:49,微博视频号,73,10,13
OeHETrCs2,吹响强军文化“集结号”，当好为战赋能“播火者”（武警第一机动总队 王长宇、汪小云、江泽红、王越；编辑：姚旺） 中国武警的微博视频  ,,无,"https://f.video.weibocdn.com/o0/CUCPEw20lx08eVpGAWCY01041201ibGD0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1716035625&ssig=JvAIU8KgAD&KID=unistore,video",无,2024-05-17 15:39,微博视频号,36,5,11
OezOtFgZh,雨后擒敌，带你走进拳拳到肉的擒敌训练场（武警广西总队 陈东、周静、程文波；编辑：姚旺） 中国武警的微博视频  ,,无,"https://f.video.weibocdn.com/o0/IcXzurt8lx08eU5nbXss01041200x7AS0E010.mp4?label=mp4_hd&template=540x960.26.0&Expires=1716035625&ssig=yakQUhbQi6&KID=unistore,video",无,2024-05-16 19:40,微博视频号,89,21,16
OezM3zPgF,踏浪！直击海警舰艇训练现场（天津海警局  潘韵璇、司翔天、冯彦博；编辑：姚旺） 中国武警的微博视频  ,,无,"https://f.video.weibocdn.com/o0/coDdPzMVlx08eU50PakM01041200eIUN0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1716035625&ssig=ltr3FPsTii&KID=unistore,video",无,2024-05-16 19:34,微博视频号,76,14,9
OezG634TQ,首届中外警宪部队论坛在武警指挥学院举办（武警指挥学院  李根源、傅强；编辑：姚旺） 中国武警的微博视频  ,,无,"https://f.video.weibocdn.com/o0/CQxg1hm0lx08eU3ZIH4c010412006ePA0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1716035626&ssig=z9vD4YHuN6&KID=unistore,video",无,2024-05-16 19:20,微博视频号,31,3,7
