微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
O7QkQ6DsL,[置顶]复活节的两场I AM GLORIA合肥站，圆满落幕！新曲目、新道具、新舞美、新舞台装置、新乐队成员⋯感谢我的团队在过去两个月的超努力和超用心，让我的第二轮巡演能有这么完美的开启🙏🏻I am super proud of my team! LOVE YOU ALL🔥❤️当然还要感谢合肥站喊得震耳欲聋的你们！而随着二巡的震...全文 [组图共18张] 原图 ,,"http://ww2.sinaimg.cn/large/001RqsRzly1hoce9yu3xpj63go53q7wm02.jpg,http://ww4.sinaimg.cn/large/001RqsRzly1hoce9um6xhj63go53qb2d02.jpg,http://ww2.sinaimg.cn/large/001RqsRzly1hocea2qo9mj63go53qqv902.jpg,http://ww1.sinaimg.cn/large/001RqsRzly1hocee8aaq6j63344monpj02.jpg,http://ww1.sinaimg.cn/large/001RqsRzly1hocedfxlz9j64mo334qvc02.jpg,http://ww2.sinaimg.cn/large/001RqsRzly1hoceee1lcuj63364mo4qw02.jpg,http://ww2.sinaimg.cn/large/001RqsRzly1hoceeivji9j63344mokjp02.jpg,http://ww2.sinaimg.cn/large/001RqsRzly1hocednr9oij63364mou1002.jpg,http://ww4.sinaimg.cn/large/001RqsRzly1hocedtv6esj63364monpj02.jpg,http://ww2.sinaimg.cn/large/001RqsRzly1hocecm1kfyj62pv42qkjp02.jpg,http://ww4.sinaimg.cn/large/001RqsRzly1hocecu1hw0j63kq5d0qvb02.jpg,http://ww1.sinaimg.cn/large/001RqsRzly1hocedkokizj64mo334b2c02.jpg,http://ww4.sinaimg.cn/large/001RqsRzly1hocecx0xjwj64912u11kz02.jpg,http://ww1.sinaimg.cn/large/001RqsRzly1hoced7ml07j62rx45wnpf02.jpg,http://ww3.sinaimg.cn/large/001RqsRzly1hocee26uy9j63344mou1202.jpg,http://ww2.sinaimg.cn/large/001RqsRzly1hocedx52dbj64mo330x6t02.jpg,http://ww3.sinaimg.cn/large/001RqsRzly1hoceczrvtrj621y330npe02.jpg,http://ww4.sinaimg.cn/large/001RqsRzly1hoced3noknj65zp3zvnpi02.jpg",无,无,2024-04-02 12:52,iPhone 15 Pro,58782,64713,34322
O4E1xzRgi,"合肥, 长沙, 佛山, 天津,大连, 太原, 上海, 成都,青岛, 南京, 郑州, 福州,哈尔滨, 台州, 呼和浩特…I AM GLORIA巡演, 现场见😎🔥（其他城市也陆续有来，其实巡演已经规划到明年了，但慢慢宣布吧🤓）#邓紫棋巡演再次解锁七城##邓紫棋IAMGLORIA世界巡回演唱会#  原图 ",,https://wx3.sinaimg.cn/large/001RqsRzly1hnngtbxdr8j63go53q7wp02.jpg,无,无,2024-03-12 12:00,无,69059,82421,41307
O3XB54ud0,《Amazing Grace》现已全网上线🤍🙏🏻这是我在2024的第一个焕新作品。愿每一个听到这首歌的人，每一天都充滿爱与恩典。QQ音乐：Amazing Grace酷狗：网页链接酷我：网页链接网易云：网页链接 GEM鄧紫棋的微博视频  ,,无,"https://f.video.weibocdn.com/o0/Fv8vZN1Mlx08d6xBfqO4010412002T9R0E010.mp4?label=mp4_hd&template=540x540.26.0&Expires=1713540792&ssig=W1C%2Fbr9alt&KID=unistore,video",无,2024-03-08 00:00,微博视频号,57308,64489,41369
O23L6eLPg,送上GLORIA的最新行踪：📍合肥 3/30-31📍长沙 4/13📍佛山 4/20📍天津 5/2到时候见！#邓紫棋IAMGLORIA世界巡回演唱会##邓紫棋合肥站官宣加场##邓紫棋长沙佛山天津站官宣#  [组图共4张] 原图 ,,"http://ww4.sinaimg.cn/large/001RqsRzgy1hn4d5imp01j63go53q7wi02.jpg,http://ww1.sinaimg.cn/large/001RqsRzgy1hn4d5yk1nnj63go53qe8502.jpg,http://ww1.sinaimg.cn/large/001RqsRzgy1hn4d5d8li9j63go53qqv902.jpg,http://ww4.sinaimg.cn/large/001RqsRzgy1hn4d6fcfk7j63go53q7wl02.jpg",无,无,2024-02-24 12:00,无,49872,67168,33065
NFSrqpd4D,粤港初一插年花，愿新的一年发发发🧧！我和@百事中国 祝你大财稳赚，小财不断，来自百事可乐的#龙年的第一场泼天富贵#到你家👇即日起至2月14日，微信聊天发送：「百事可乐」、「7喜临门」、「美年腾达」或「把乐带回家」，就会天降红包雨，现金红包和百事群星红包封面惊喜不停！上「百事...全文 ,,无,无,无,2024-02-10 10:00,微博视频号,54317,24281,27597
NFhw8nOkI,合肥、长沙、佛山、天津、大连、太原、上海、成都，GLORIA要来了🔥而且其他城市也陆续有来❤️#邓紫棋巡演官宣新一轮八站# #邓紫棋合肥演唱会官宣##邓紫棋IAMGLORIA世界巡回演唱会#  [组图共2张] 原图 ,,"http://ww2.sinaimg.cn/large/001RqsRzgy1hmjm35onh7j62bc3et4qs02.jpg,http://ww4.sinaimg.cn/large/001RqsRzgy1hmjm715iykj63go53q1ky02.jpg",无,无,2024-02-06 12:00,微博网页版,80688,81511,56092
微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
O7QkQ6DsL,[置顶]复活节的两场I AM GLORIA合肥站，圆满落幕！新曲目、新道具、新舞美、新舞台装置、新乐队成员⋯感谢我的团队在过去两个月的超努力和超用心，让我的第二轮巡演能有这么完美的开启🙏🏻I am super proud of my team! LOVE YOU ALL🔥❤️当然还要感谢合肥站喊得震耳欲聋的你们！而随着二巡的震...全文 [组图共18张] 原图 ,,"http://ww2.sinaimg.cn/large/001RqsRzly1hoce9yu3xpj63go53q7wm02.jpg,http://ww4.sinaimg.cn/large/001RqsRzly1hoce9um6xhj63go53qb2d02.jpg,http://ww2.sinaimg.cn/large/001RqsRzly1hocea2qo9mj63go53qqv902.jpg,http://ww1.sinaimg.cn/large/001RqsRzly1hocee8aaq6j63344monpj02.jpg,http://ww1.sinaimg.cn/large/001RqsRzly1hocedfxlz9j64mo334qvc02.jpg,http://ww2.sinaimg.cn/large/001RqsRzly1hoceee1lcuj63364mo4qw02.jpg,http://ww2.sinaimg.cn/large/001RqsRzly1hoceeivji9j63344mokjp02.jpg,http://ww2.sinaimg.cn/large/001RqsRzly1hocednr9oij63364mou1002.jpg,http://ww4.sinaimg.cn/large/001RqsRzly1hocedtv6esj63364monpj02.jpg,http://ww2.sinaimg.cn/large/001RqsRzly1hocecm1kfyj62pv42qkjp02.jpg,http://ww4.sinaimg.cn/large/001RqsRzly1hocecu1hw0j63kq5d0qvb02.jpg,http://ww1.sinaimg.cn/large/001RqsRzly1hocedkokizj64mo334b2c02.jpg,http://ww4.sinaimg.cn/large/001RqsRzly1hocecx0xjwj64912u11kz02.jpg,http://ww1.sinaimg.cn/large/001RqsRzly1hoced7ml07j62rx45wnpf02.jpg,http://ww3.sinaimg.cn/large/001RqsRzly1hocee26uy9j63344mou1202.jpg,http://ww2.sinaimg.cn/large/001RqsRzly1hocedx52dbj64mo330x6t02.jpg,http://ww3.sinaimg.cn/large/001RqsRzly1hoceczrvtrj621y330npe02.jpg,http://ww4.sinaimg.cn/large/001RqsRzly1hoced3noknj65zp3zvnpi02.jpg",无,无,2024-04-02 12:52,iPhone 15 Pro,58932,64757,34805
O4E1xzRgi,"合肥, 长沙, 佛山, 天津,大连, 太原, 上海, 成都,青岛, 南京, 郑州, 福州,哈尔滨, 台州, 呼和浩特…I AM GLORIA巡演, 现场见😎🔥（其他城市也陆续有来，其实巡演已经规划到明年了，但慢慢宣布吧🤓）#邓紫棋巡演再次解锁七城##邓紫棋IAMGLORIA世界巡回演唱会#  原图 ",,https://wx3.sinaimg.cn/large/001RqsRzly1hnngtbxdr8j63go53q7wp02.jpg,无,无,2024-03-12 12:00,无,69097,82420,41343
O3XB54ud0,《Amazing Grace》现已全网上线🤍🙏🏻这是我在2024的第一个焕新作品。愿每一个听到这首歌的人，每一天都充滿爱与恩典。QQ音乐：Amazing Grace酷狗：网页链接酷我：网页链接网易云：网页链接 GEM鄧紫棋的微博视频  ,,无,"https://f.video.weibocdn.com/o0/Fv8vZN1Mlx08d6xBfqO4010412002T9R0E010.mp4?label=mp4_hd&template=540x540.26.0&Expires=1713596112&ssig=HoscWw3XwA&KID=unistore,video",无,2024-03-08 00:00,微博视频号,57339,64492,41376
