微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
OaIbY8dgB,【#广东70个暴雨预警信号生效中#】#广东暴雨部分河流超警洪水#连日来，广东多地出现大范围强降雨过程。今晨，除了湛江和粤东部分市县，广东一整个被雷雨云系覆盖；全省共70个暴雨预警信号生效、65个雷雨大风预警信号生效。部分河流已出现超警洪水。在清远，飞来峡水利枢纽溢流坝闸...全文 ,,无,"https://f.video.weibocdn.com/o0/L6B2Whqnlx08efxRJHkc01041200B04L0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1713692724&ssig=oxf14nFxdc&KID=unistore,video",无,2024-04-21 09:39,微博视频号,3020,572,686
OaHMi1AXX,【世界首套！#中国科学家给月球出高清写真#[666]】#世界首套高清月球地质图集来了#今天，中国科学家研编的全球首套高精度月球地质图集正式发布。图集以我国嫦娥工程科学探测数据为基础绘制，比例尺为1:250万，内含全月地质图（主图）、月球岩石类型分布图、月球构造纲要图和30幅月球标准分幅地...全文 [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/002TLsr9ly1hoy5k8eujnj60k0106to102.jpg,http://ww4.sinaimg.cn/large/002TLsr9ly1hoy5k8lxljj60vg1cihdt02.jpg",无,无,2024-04-21 08:36,微博网页版,1758,400,616
OaHA9x882,【祝贺！#我国成功发射遥感四十二号02星#】今天，我国在西昌卫星发射中心使用长征二号丁运载火箭，成功将遥感四十二号02星发射升空，卫星顺利进入预定轨道，发射任务获得圆满成功。#为中国航天点赞#！（总台央视记者刘常连 杨弘杨） 我国成功发射遥感四十二号02星 央视新闻的微博视频 ,,无,无,无,2024-04-21 08:06,微博视频号,3028,579,874
OaHrZvkp5,#美众议院通过260亿美元援以法案#【#美议员批评对以军援或致更多平民被杀#】当地时间20日，美国众议院投票通过一项对外援助法案，其中包括向以色列提供260亿美元的军事援助。投票反对进一步向以色列提供援助的19名美国众议院议员表示，如果美国国会继续在加沙人道主义危机期间提供军事援助，可能将导...全文 原图 ,,https://wx4.sinaimg.cn/large/002TLsr9ly1hoy45ynifmj60dw0dwgs302.jpg,无,无,2024-04-21 07:46,微博网页版,1274,216,361
OaHaRwwj7,【#680余名涉赌诈嫌犯从柬埔寨押解回国#】今晨，随着两架中国民航包机降落在湖北武汉天河国际机场，135名中国籍涉赌诈违法犯罪嫌疑人被我公安机关从柬埔寨押解回国。截至目前，柬警方抓获的680余名中国籍涉赌诈违法犯罪嫌疑人已全部被我公安机关押解回国。 （总台央视记者陈昱）...全文 ,,无,无,无,2024-04-21 07:03,微博视频号,2253,373,577
OaE4zrfvG,【夜读丨“无意中偷看到我爸的日记后……”】#央视新闻的留言板# “无意中偷看到我爸的日记后……”  ,,无,无,无,2024-04-20 23:10,微博 weibo.com,1532,398,1349
OaDXb1cTH,#主播说联播#【#中国建造上新又上量竞争力越来越强#】今天，有两条 “重”磅消息。我国目前载重量最大的货运重载列车，今天成功开行。这次开行的列车编组总长4公里，载重达3万吨级。“钢铁长龙”跑起来了，跑的是技术，也会跑出效率和效益。今天，第二艘国产大邮轮下坞，标志着我...全文 ,,无,"https://f.video.weibocdn.com/o0/pWTOppPNlx08eePp3vkY01041200mFvg0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1713692743&ssig=B%2FU9wfO1nv&KID=unistore,video",无,2024-04-20 22:51,微博视频号,1200,267,434
OaDL8tyZg,#林高远张本智和#【#马龙林高远决赛相见#】今天，2024澳门国际乒联世界杯半决赛，马龙@captain龙 战胜队友@王楚钦___ ，@Eric-林高远 战胜日本选手张本智和，晋级决赛。马龙将与林高远争夺冠军。#国乒提前锁定男单冠亚军#，恭喜！  [组图共9张] 原图 ,,"http://ww2.sinaimg.cn/large/002TLsr9ly1hoxnvcpw60j644o2r4kjp02.jpg,http://ww3.sinaimg.cn/large/002TLsr9ly1hoxnvclxflj64902u0kjp02.jpg,http://ww2.sinaimg.cn/large/002TLsr9ly1hoxnvaf93lj63uw2klkjm02.jpg,http://ww2.sinaimg.cn/large/002TLsr9ly1hoxnvaoj1zj63uw2kkkjm02.jpg,http://ww4.sinaimg.cn/large/002TLsr9ly1hoxnvb8ugnj62xi1ycnpe02.jpg,http://ww1.sinaimg.cn/large/002TLsr9ly1hoxnvau6luj62za1ziqv602.jpg,http://ww1.sinaimg.cn/large/002TLsr9ly1hoxnv9m6nmj60pl0e611902.jpg,http://ww2.sinaimg.cn/large/002TLsr9ly1hoxnv9luuej60pw0ea11s02.jpg,http://ww3.sinaimg.cn/large/002TLsr9ly1hoxnva33cjj60po0ea7dj02.jpg",无,无,2024-04-20 22:22,微博网页版,3273,342,716
OaDICz0e0,【独一无二！#这条青瓷鱼在文物界至今没撞过款#[666]】现藏于辽宁省博物馆的耀州窑青瓷飞鱼形水盂，造型独特。它有张夸张的大嘴，上唇卷起，遮住了两个小“眼睛”；鱼尾高高扬起，“鱼肚”下是圆形平底圈足，让它能稳稳立起；双翅和鱼尾上有圆形“水珠”，整体如一条出水游龙。这种龙鱼的形象，充满了...全文 原图 ,,https://wx2.sinaimg.cn/large/002TLsr9ly1hoxnlgn7rbj60u01hc7rv02.jpg,无,无,2024-04-20 22:16,微博网页版,2449,442,603
OaDrugpdQ,#孙颖莎陈梦#【#孙颖莎王曼昱决赛加油#】今天，2024澳门国际乒联世界杯半决赛，@孙颖莎 战胜队友@陈梦-乒乓球 ，@王曼昱 战胜日本队的张本美和，晋级决赛。孙颖莎将与王曼昱争夺女单冠军。#国乒提前锁定女单冠亚军#，恭喜！  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/002TLsr9ly1hoxmgy3is9j61fk0sqket02.jpg,http://ww2.sinaimg.cn/large/002TLsr9ly1hoxmgy4pntj61fw0t4kd002.jpg,http://ww2.sinaimg.cn/large/002TLsr9ly1hoxmgy5w22j61fa0scaxm02.jpg,http://ww1.sinaimg.cn/large/002TLsr9ly1hoxmgy22pxj60rs0fewgw02.jpg,http://ww2.sinaimg.cn/large/002TLsr9ly1hoxmgy4teyj61fs0sw4l102.jpg,http://ww2.sinaimg.cn/large/002TLsr9ly1hoxmgy6hmnj61f20sedn702.jpg,http://ww3.sinaimg.cn/large/002TLsr9ly1hoxmgyqlx9j63uw2klkjm02.jpg,http://ww3.sinaimg.cn/large/002TLsr9ly1hoxmgyv7z9j63uw2klhdu02.jpg,http://ww2.sinaimg.cn/large/002TLsr9ly1hoxmgznelwj63uw2kk1kz02.jpg",无,无,2024-04-20 21:33,微博网页版,13279,420,1191
OaDra5kBV,【#覃海洋男子100米蛙泳冠军#】刚刚，2024年全国游泳冠军赛男子100米蛙泳决赛中，@覃海洋_ 夺得金牌。祝贺！ 央视新闻的微博视频  ,,无,无,无,2024-04-20 21:33,微博视频号,1526,90,196
OaD71kfz7,【#张雨霏冠军#】刚刚，2024年全国游泳冠军赛女子100米蝶泳决赛中， @o张雨霏o 发挥稳定，获得冠军！就在昨天，张雨霏刚刚过完26岁生日，并获得女子自由泳接力金牌，#张雨霏26岁刚2天已获2枚金牌#，加油！ 央视新闻的微博视频  ,,无,无,无,2024-04-20 20:43,微博视频号,3793,250,522
OaCXAdDa6,#新疆一土拨鼠单挑4只牧羊犬#【#土拨鼠被牧羊犬围攻摇来交警#】近日，新疆和静县，野生土拨鼠与牧羊犬1V1打架。路过交警看到，本来不想管，没想到牧羊犬“摇”来三只同伴，场上局面失控，交警出手了↓↓↓（总台记者苏蒙 周沁怡） 央视新闻的微博视频  ,,无,"https://f.video.weibocdn.com/o0/w6NhnfDtlx08eeEXxdSw01041200iLNI0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1713692750&ssig=fv5EfuP71a&KID=unistore,video",无,2024-04-20 20:20,微博视频号,2907,417,624
OaCyB6DQo,#王宗源世界杯连夺3金#【祝贺！#王宗源又又又拿金牌了#】在刚刚结束的世界泳联2024跳水世界杯总决赛中，中国选手@Diving王宗源 摘得男子3米板跳水项目金牌。就在昨天，他已与队友联手获得混合团体赛、男子双人3米跳板金牌！恭喜！祝贺！王宗源跳水世界杯男子3米板摘金  央视新闻的微博视频  ,,无,无,无,2024-04-20 19:18,微博视频号,1815,159,400
OaCnqaTmz,#美国多州牛群感染禽流感#【#美国一奶牛场工人感染甲型H5N1禽流感#】当地时间4月19日，世卫组织流感专家通报近期在美国发生的甲型H5N1禽流感疫情的基本情况。专家表示，美国近日已在多个州的牛群中发现甲型H5N1禽流感病毒感染情况。而得克萨斯州4月1日通报一名奶牛场工人确诊感染甲型H5N1禽流感病毒，...全文 ,,无,无,无,2024-04-20 18:51,微博视频号,694,123,208
OaCdGkwEp,【转存！#一套动作缓解肩背酸痛#】伏案久了肩背不适？扩胸通肺、举臂活肩、提肩松背，3个动作帮你缓解肩背酸痛！一起练起来~@CCTV生活圈 CCTV生活圈的微博视频  ,,无,"https://f.video.weibocdn.com/o0/88VQKaMelx08e6iwfQ2Y01041200aU9D0E010.mp4?label=mp4_hd&template=540x956.24.0&Expires=1713692756&ssig=2qkVX3YZc6&KID=unistore,video",无,2024-04-20 18:27,微博视频号,1689,886,338
OaC1bieBj,【#牡丹成赏花经济的顶流#[送花花]】眼下，牡丹进入盛花期，一朵朵牡丹花艳似云锦，雍容华贵。千年前，牡丹之美，行走在诗词里，点缀在书画间；如今，赏花的周边产业日益丰富，赏花热还带动了消费热，真正实现“颜值”变“产值”↓↓ 央视新闻的微博视频  ,,无,"https://f.video.weibocdn.com/o0/LNsbzSZxlx08eev64DTi01041201spwX0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1713692756&ssig=y0MATwLGEs&KID=unistore,video",无,2024-04-20 17:56,微博视频号,898,206,330
OaBG9zrRF,【#陈艺文跳水世界杯女子3米板摘金#】世界泳联2024跳水世界杯总决赛今日继续进行。中国选手陈艺文获得女子3米跳板比赛冠军。#陈艺文冠军#祝贺！陈艺文跳水世界杯女子3米板摘金 央视新闻的微博视频  ,,无,无,无,2024-04-20 17:04,微博视频号,1480,146,371
OaBuPalDl,【给力小孩哥！#小学生一个电话救了一条街#】近日，云南香格里拉一商贸街突发火灾。小学生吴纯圆看到居民楼里飘出浓烟，立即拨打119，并引导消防员及时到场施救。#吴纯圆小朋友被消防叔叔点名表扬#：“不止救了10个人，要是没及时报警的话，可能这一条街就毁了，你很棒很棒，好样的！”点赞！...全文 ,,无,"https://f.video.weibocdn.com/o0/E2BJKb6Klx08eepDv3IA01041200bPPA0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1713692768&ssig=rpRQ3ltZsd&KID=unistore,video",无,2024-04-20 16:36,微博视频号,8350,386,770
OaBbcDSMW,【#国产碳14同位素年底向市场供货#】今天，中核集团宣布，#我国实现碳14同位素国产化#。碳-14是一种具有放射性的同位素，主要应用包括幽门螺杆菌检测、农药残留检测，和测量PM2.5等环境空气中的颗粒物浓度等。此前，我国碳-14供应几乎全部依赖进口，价格昂贵且供应得不到保障。本次碳-14靶件完成出堆...全文 ,,无,无,无,2024-04-20 15:48,微博视频号,1805,304,305
OaAPz3H6a,【#入联遭美否决巴勒斯坦观察员颤抖讲话#】近日，巴勒斯坦“入联”申请遭美一票否决，巴勒斯坦常驻联合国观察员曼苏尔哽咽着向投下赞成票的安理会成员致敬。他表示，巴勒斯坦人民不会消失，无论是大国还是强权都无法抹杀现实和历史，巴勒斯坦人民将继续为民族自决权、为独立建国而抗争。...全文 ,,无,"https://f.video.weibocdn.com/o0/UBZ29aUclx08eeiyI3wA010412004k6P0E010.mp4?label=mp4_hd&template=540x1200.24.0&Expires=1713692777&ssig=JZyETynZ70&KID=unistore,video",无,2024-04-20 14:54,微博视频号,6574,636,747
OaAJGAj53,【华为2024年要打造原生应用生态】近日，2024华为分析师大会上，华为轮值董事长徐直军谈到：打造鸿蒙原生应用生态，这是华为2024年最关键的事情。华为希望用一年时间，把华为手机上应用超过99%时间的5000个应用，全面迁移到鸿蒙原生操作系统上。 央视新闻的微博视频  ,,无,"https://f.video.weibocdn.com/o0/nhoQcTbwlx08eehEeGAw010412005gJK0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1713692778&ssig=OlS7Pzplsq&KID=unistore,video",无,2024-04-20 14:40,微博视频号,1239,83,245
OaApzduzd,#陆游写诗太像发朋友圈了#【#陆游为手杖写了400多首诗#】陆游一生写过9000多首诗，其中有400多首是写的手杖，他把手杖当成朋友诉说心事。或许对陆游来说，手杖已经被赋予了新的生命与情感，是最亲密无间的伙伴，也是精神的寄托。看↓↓这些写手杖的诗，你听过几个？#中国诗词大会#...全文 ,,无,"https://f.video.weibocdn.com/o0/Xxg7RsMWlx08eeeh3aac01041200MbvK0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1713692782&ssig=mcCi70PYzB&KID=unistore,video",无,2024-04-20 13:50,微博视频号,1621,547,633
OaA3mtjDC,【巧夺天工！#针线绣出裸眼3D青铜器太绝了#】这是非遗传承人付健一针一线“绣”出来的青铜器，要用到800到1000种颜色的丝线，最细的绣线要劈成1/64甚至1/128；一幅作品会花10个月到一年时间完成↓↓金属感、立体感令人震撼。#联播一瞬# 央视新闻的微博视频  ,,无,"https://f.video.weibocdn.com/o0/twzP7okRlx08eeavzcTK01041200dCew0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1713692782&ssig=QGqPqeaRhG&KID=unistore,video",无,2024-04-20 12:56,微博视频号,6189,741,1083
OazDZ8DTv,【#小林制药样本检出2种意想不到物质#】日本厚生劳动省19日说，经对小林制药公司去年6至8月生产的红曲原料样本进行分析，发现了除软毛青霉酸外的几种“意想不到的物质”，但尚不清楚与消费者健康受损的因果关系。目前，厚生劳动省和国立医药品食品卫生研究所正在调查这些化合物是否由霉菌产生、在哪个...全文 ,,无,无,无,2024-04-20 11:53,微博视频号,1898,326,433
OazrEduZO,【#河南2个加油站用软件作弊少加油# 查封！】#加油站短斤少两被举报后断电躲检查#近日，河南商丘群众向市场监管部门举报两家加油站，称实际加油量总是比购买量少。执法人员赶到加油站，经分析认为电脑里有作弊软件。正待仔细调查，加油站却突然停电，试图抹掉软件数据。随后，市场监管部门查封了...全文 ,,无,"https://f.video.weibocdn.com/o0/HvtZblu1lx08ee49SMOQ01041200X67P0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1713692790&ssig=sBtObUrO2W&KID=unistore,video",无,2024-04-20 11:23,微博视频号,1784,394,536
Oaz6C6wn4,【#武警战士们徒手拆开事故车救人#】近日，云南普洱，训练结束返回营区的武警官兵，路遇车祸，迅速展开救援。他们徒手拉开变形的车门，合力救出被困人员，直到将受伤人员送上救护车，官兵们才放心离开。致敬中国军人！#车辆事故有人被困遇到一群武警路过# 央广军事的微博视频 @央广军事  ,,无,"https://f.video.weibocdn.com/o0/nmH8wMJXlx08ed87jT1S01041200eY4G0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1713692791&ssig=exyzZeFmEG&KID=unistore,video",无,2024-04-20 10:31,微博视频号,2538,251,587
OayKq8YlQ,#鸟苏啤酒侵权乌苏啤酒#【#鸟苏不服侵权乌苏判决被驳回#】新疆乌苏公司自1986年开始生产乌苏啤酒。2020年，市场上出现与乌苏啤酒近似的红罐装500毫升啤酒，叫“鸟苏”。“鸟苏”啤酒的“鸟”字，“点”笔划用缩小的“闪电”图标代替，与乌苏啤酒中文商标只有一“点”之差。近日，最高人民法院披露“...全文 ,,无,"https://f.video.weibocdn.com/o0/LI2OFI2Mlx08edX0Lee401041200SpJy0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1713692795&ssig=Xm3lT8%2FTz7&KID=unistore,video",无,2024-04-20 09:36,微博视频号,2925,332,803
微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
OaKVElfUq,【#神十八发射场区全系统合练#】#神十八近日将择机发射#神舟十八号载人飞船计划将于近日择机发射，今天，酒泉卫星发射中心组织各单位展开全系统合练。此次合练按照正式发射程序进行，在发射场系统的统一调度下，塔架、火箭、飞船等分系统进行功能检查，从飞行准备、点火起飞到船箭分离，实施全过程模...全文 原图 ,,https://wx3.sinaimg.cn/large/002TLsr9ly1hoyjip9xjmj60dw0dwgs302.jpg,无,无,2024-04-21 16:37,微博网页版,172,27,55
OaKOE1dxZ,【#建230个吃瓜群发谣言给境外网站引流#】#在吃瓜群扫个码到黄赌网站了#近日，上海警方破获一起利用谣言为境外网站引流的案件。吴某等3人与境外不法网站取得联系，建了230个微信群，每个群有80至160人。他们蹭热点编造虚假视频，附带二维码，引诱群里的人登陆境外色情、赌博等网站。通过深挖扩线，警...全文 ,,无,"https://f.video.weibocdn.com/o0/PtBoQF0clx08efZoGuIw01041200e2oS0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1713692839&ssig=hUr96yO0Qu&KID=unistore,video",无,2024-04-21 16:19,微博视频号,295,58,82
OaKs5zZiF,【#两人维保电梯一人竟是纸片人#】#电梯维保走过场有了故障能赚钱#上海一超市里女子腰部以下卷入扶梯，事故引发对电梯安全的关注。我国投用的电梯已超1000万台，日常维护保养至关重要。但一些维保人员为应付检查、满足“不少于两人”的要求，居然带“纸片人”作业，还精心为“纸片人”制作...全文 ,,无,"https://f.video.weibocdn.com/o0/RnqweljClx08efVt1x5u01041200NtMU0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1713692843&ssig=rtpqZziXLO&KID=unistore,video",无,2024-04-21 15:24,微博视频号,1134,178,252
OaK2T97cf,【#周冠宇头盔含沪量好高#】#周冠宇说国旗一直是我的动力#今天15时，中国首位F1车手@车手周冠宇 ，将在家乡上海参加F1中国大奖赛正赛。他的头盔绘有上海地铁线路图，还有多个上海地标建筑。“头盔后面的小男孩20年后终于迎来了主场作战！”周冠宇回忆，职业生涯第一次在国外夺冠时，没...全文 ,,无,"https://f.video.weibocdn.com/o0/ZbVwP1gQlx08efRl3Q0w01041201gz6D0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1713692847&ssig=m1taaNeZ11&KID=unistore,video",无,2024-04-21 14:22,微博视频号,2395,566,310
OaJJq7lVE,【#广西一厂房房顶被强风撕碎#】#广西多地雷暴大风冰雹#4月19日白天至20日早上，广西部分地区出现暴雨到大暴雨天气，多地出现雷暴、大风、冰雹等天气。受短时对流和强降雨影响，藤县某陶瓷厂部分老旧厂房的房顶被强风吹起、塌落↓经排查确认无人员被困，个别人员受轻伤，均无生命危险。预计今天，崇...全文 ,,无,"https://f.video.weibocdn.com/o0/4v1SjPZvlx08efO0pmCk010412007ff10E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1713692851&ssig=kRUA71IlxX&KID=unistore,video",无,2024-04-21 13:34,微博视频号,696,141,336
