微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Of7UVsAhL,@朱一龙 + OPPO 实况照片=人生心动 2 秒与朱一龙生命力不期而遇#OPPO Reno12#系列，超美小直屏5 月 23 日 16:00，全新发布带#朱一龙心动2秒#转发+评论，抽送 3 个限定周边。  ,,无,无,无,2024-05-20 10:30,微博视频号,12322,10208,4750
OfhxB9Lfi,#OPPO Reno12# 系列 AI 消除，一键拯救废片轻松打造人生照片高光时刻。更多 AI 影像惊喜，等你解锁。 @朱一龙OPPO Reno12 系列，超美小直屏。5 月 23 日 16:00，全新发布。  原图 ,,https://wx2.sinaimg.cn/large/001RJIkpgy1hpwekb0hmej60u01hcqpz02.jpg,无,无,2024-05-21 11:00,OPPO Reno12,4265,1125,915
OfbQsvJED,#OPPO 商城# 618 燃价到底，今日晚8，正式开启！这份福利攻略请你查收！跟着攻略逛商城，7 大官方独家权益等你解锁 ~狂撒千万积分，红包雨赢手机！每日抢千元手机神券、0元抽 499元 端午礼盒，全程价保下单不亏，速戳>>网页链接  原图 ,,https://wx4.sinaimg.cn/large/001RJIkpgy1hpw3qbmqrnj615o798b2902.jpg,无,无,2024-05-20 20:30,微博网页版,73,3,25
OfbEi1Q9o,#OPPO在场真AI上场# 应OPPO与@逐梦青少年足球发展基金 的邀请，OPPO全球品牌大使卡卡@卡卡Kaka 将参加于榕江村超足球场进行的“逐梦”冠军公益赛！因热爱定下的约定，终有一天会因热爱实现！期待卡卡与“逐梦”小女足的同场竞技，让我们约定5月27日榕江村超赛场！ OPPO的微博视频  ,,无,无,无,2024-05-20 20:00,微博视频号,62,7,31
OfbfWg2Ow,退役后的卡卡@卡卡Kaka 没有离开热爱的足球，而是选择在其他赛场上帮助他人追梦，继续享受着足球真爱。#OPPO在场真AI上场# OPPO全球品牌大使卡卡，带我们回味他欧冠生涯的精彩高光，让OPPO记录下追逐热爱的脚步。 OPPO的微博视频  ,,无,无,无,2024-05-20 19:00,微博视频号,67,9,27
Ofb3KzZaJ,一个视频，看懂千元耐用神机#OPPO K12x#！同档唯一 80W 超级闪充，5500mAh 大电池，同时做到四年电池耐用、流畅耐用、品质耐用！关注 + 转评，抽 1 位送 OPPO K12x。仅 1299 元起，现已开售，立即购买：OPPO 商城：网页链接京东：网页链接天猫：网页链接...全文 ,,无,无,无,2024-05-20 18:30,微博视频号,1022,2016,1663
Of9ulacc0,#OPPO K12x#正式开售！同档唯一 80W 超级闪充，5500mAh 大电池，同时做到四年电池耐用、流畅耐用、品质耐用！仅 1299 元起，打造千元耐用神机！关注 + 转评，抽 1 位送 OPPO SUPERVOOC 80W 双口氮化镓充电套装。 现已开售，立即购买：OPPO 商城：网页链接京东：...全文 原图 ,,https://wx4.sinaimg.cn/large/001RJIkpgy1hpsq32u8wmj60u01ju7wh02.jpg,无,无,2024-05-20 14:30,OPPO K12x 5G,532,1207,1039
Of9iacmmu,是 Live，是更好的 Live。OPPO Reno12 系列，「首个能发布实况照片的安卓机」。实况照片 LivePhoto 功能，支持小红书平台发布，支持全焦段，支持美颜，支持封面编辑，支持封面帧 ProXDR 显示。用更好的 LivePhoto 实况照片，留住你的生命力时刻！#OPPO Reno12#系列，超美小直屏。5 月 23 日 16:00...全文 原图 ,,https://wx3.sinaimg.cn/large/001RJIkpgy1hpvv3tvo36j60u01q6hdt02.jpg,无,无,2024-05-20 14:00,OPPO Reno12,378,27,124
Of8D6fS9G,520 奇闻速递！某婚姻登记处惊现多对奇葩对象#OPPO Reno12# 系列，超美小直屏在 Live 图里，见证不被定义的生命力和我们生命中不被定义的爱转发+评论，抽送 OPPO Watch4 Pro 一台。 #小满恰逢520# OPPO的微博视频  ,,无,无,无,2024-05-20 12:18,微博视频号,1128,2743,2337
Of7wziByg,首个能发布实况照片的安卓机，就在 OPPO Reno12 系列。在人生的旷野，跑起来，就有风，用实况照片记录下那些有风的时刻，记录下不被定义的生命力。#OPPO Reno12#系列，超美小直屏。5 月 23 日 16:00，全新发布。转发+评论，抽送一台 OPPO Reno12。 OPPO的微博视频  ,,无,无,无,2024-05-20 09:30,微博视频号,2138,5131,4362
Of7koBgfL,首个能发布实况照片的安卓机，就在 OPPO Reno12 系列。这个夏天，在 LivePhoto 里留住海风、阳光和你的笑容，留住你的生命力时刻！#OPPO Reno12#系列，超美小直屏。5 月 23 日 16:00，全新发布。转发+评论，抽送 OPPO Pad2 一台。 OPPO的微博视频  ,,无,无,无,2024-05-20 09:00,微博视频号,2097,4967,4263
Of3hybFKW,恭喜Lehends荣获 2024成都MSI OPPO MVP。#敢AI敢登场# 为热爱上场，因无畏闪耀，让我们在英雄联盟季中赛的巅峰，刻下你的名字。#Lehends获得FMVP#  [组图共6张] 原图 ,,"http://ww2.sinaimg.cn/large/001RJIkpgy1hpv7dy7xcmj635s2a1x6r02.jpg,http://ww3.sinaimg.cn/large/001RJIkpgy1hpv7e177ivj62dc35shdu02.jpg,http://ww1.sinaimg.cn/large/001RJIkpgy1hpv7e4l87qj635s23w4qr02.jpg,http://ww1.sinaimg.cn/large/001RJIkpgy1hpv7e8lppsj635s2dcb2a02.jpg,http://ww3.sinaimg.cn/large/001RJIkpgy1hpv7euwfzgj62dc35s7wi02.jpg,http://ww3.sinaimg.cn/large/001RJIkpgy1hpv7ewgk56j62dc35s7wi02.jpg",无,无,2024-05-19 22:42,OPPO Find X7,201,12,40
Of29FbtI8,#2024MSI# 热爱是无论面对何种境地都拼尽全力，BLG加油！#敢AI敢登场#  [组图共9张] 原图 ,,"http://ww4.sinaimg.cn/large/001RJIkpgy1hpv2bxhww5j635s2dcb2a02.jpg,http://ww4.sinaimg.cn/large/001RJIkpgy1hpv2bv6t9fj62dc35skjl02.jpg,http://ww1.sinaimg.cn/large/001RJIkpgy1hpv2bwyr5mj635s2dc4qq02.jpg,http://ww1.sinaimg.cn/large/001RJIkpgy1hpv2bx4bmoj635s2dcb2a02.jpg,http://ww4.sinaimg.cn/large/001RJIkpgy1hpv2qcy0bwj635s2dc7wi02.jpg,http://ww3.sinaimg.cn/large/001RJIkpgy1hpv2bxljkzj635s2dcu0y02.jpg,http://ww2.sinaimg.cn/large/001RJIkpgy1hpv2qtxpguj62dc35skjm02.jpg,http://ww4.sinaimg.cn/large/001RJIkpgy1hpv2qudn8bj61400u0gy002.jpg,http://ww3.sinaimg.cn/large/001RJIkpgy1hpv2spt87mj62dc35sb2a02.jpg",无,无,2024-05-19 19:49,微博网页版,205,4,47
Of1kzy9dU,2024成都MSI决赛已经开战！宿命对决正在上演！  谁将加冕为王，谁会捧起成都MSI OPPO MVP奖杯？让我们一同见证！  祝选手们无畏前行，突破极限! #GEN对战BLG##敢AI敢登场# 点击链接选出你心中的MVP！你的每一票都将以比例计入最终MVP票选结果！网页链接  [组图共9张] 原图 ,,"http://ww2.sinaimg.cn/large/001RJIkpgy1hpuymqfb5cj635s2dcb2b02.jpg,http://ww1.sinaimg.cn/large/001RJIkpgy1hpuympt4uwj62dc35skjm02.jpg,http://ww2.sinaimg.cn/large/001RJIkpgy1hpuympc1etj635s2dc7wi02.jpg,http://ww2.sinaimg.cn/large/001RJIkpgy1hpuymq454mj635s2dce8302.jpg,http://ww3.sinaimg.cn/large/001RJIkpgy1hpuymq325xj635s2dce8302.jpg,http://ww3.sinaimg.cn/large/001RJIkpgy1hpuympx5yvj62dc35skjm02.jpg,http://ww4.sinaimg.cn/large/001RJIkpgy1hpuymphy0dj62dc35se8202.jpg,http://ww2.sinaimg.cn/large/001RJIkpgy1hpuymppvbgj635s2dchdu02.jpg,http://ww1.sinaimg.cn/large/001RJIkpgy1hpuymqdf73j635s2dcqv502.jpg",无,无,2024-05-19 17:43,微博网页版,118,10,28
Of12Jg2Sw,#2024MSI# 最终之战即将打响，未知结局即将揭晓！谁会是2024 MSI OPPO MVP？祝选手们放胆去战，OP全场！一起 #敢AI敢登场#！投票通道已开启！为你喜爱的MVP选手投票吧！网页链接转发+评论，抽送1台 OPPO Find X7 Ultra。  原图 ,,https://wx4.sinaimg.cn/large/001RJIkpgy1hpulewjuyxj60u01juqv502.jpg,无,无,2024-05-19 17:00,微博网页版,1959,5748,4741
Of03Qkfsh,跟着千元耐用神机#OPPO K12x#，去看大美新疆，处处都是心中的阿勒泰。OPPO K12x 仅 1299 元起，现已开启预售。明日 10:00 正式开售。关注 + 转评，抽 1 位送 OPPO SUPERVOOC 80W 双口氮化镓充电套装。 立即选购：OPPO 商城：网页链接京东：网页链接天猫：...全文 [组图共4张] 原图 ,,"http://ww1.sinaimg.cn/large/001RJIkpgy1hpsp4x24gnj635c2dcqv802.jpg,http://ww3.sinaimg.cn/large/001RJIkpgy1hpsp4z2z25j635c2dc1kz02.jpg,http://ww1.sinaimg.cn/large/001RJIkpgy1hpsp5197z1j62dc35c7wj02.jpg,http://ww3.sinaimg.cn/large/001RJIkpgy1hpsp52sqenj635c2dcu0z02.jpg",无,无,2024-05-19 14:30,OPPO K12x 5G,633,1303,1083
OeYGBAteD,这一次，OPPO与Riot Games一起开辟未知，联合制作2024 MSI MVP奖杯。一同跟随OPPO Cam的镜头，走进MVP奖杯制作的幕后故事。#敢AI敢登场# 为你喜爱的MVP选手投票吧！网页链接转发+评论，抽送1台OPPO Enco Free2。 OPPO的微博视频  ,,无,无,无,2024-05-19 11:00,微博视频号,771,1951,1641
